timestamp,scope,marketId,activeDebtLoanCount,distinctActiveDebtObservedKeyCount
2026-07-18T17:27:38.183Z,market,USDCx,91,72
2026-07-18T17:27:38.183Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,18,14
2026-07-18T17:27:38.183Z,market,USDM,44,36
2026-07-18T17:27:38.183Z,market,USDT,20,14
2026-07-18T17:27:38.183Z,market,WMT,0,0
2026-07-18T17:27:38.183Z,protocol,,589,432
2026-07-20T10:22:16.298Z,market,Ada,83,60
2026-07-20T10:22:16.298Z,market,BTC,15,12
2026-07-20T10:22:16.298Z,market,COPI,2,2
2026-07-20T10:22:16.298Z,market,DAI,2,2
2026-07-20T10:22:16.298Z,market,DJED,90,80
2026-07-20T10:22:16.298Z,market,ERG,4,4
2026-07-20T10:22:16.298Z,market,ETH,6,6
2026-07-20T10:22:16.298Z,market,IAG,7,7
2026-07-20T10:22:16.298Z,market,IUSD,57,47
2026-07-20T10:22:16.298Z,market,MIN,38,34
2026-07-20T10:22:16.298Z,market,NIGHT,13,12
2026-07-20T10:22:16.298Z,market,SHEN,10,9
2026-07-20T10:22:16.298Z,market,SNEK,12,12
2026-07-20T10:22:16.298Z,market,USDA,56,43
2026-07-20T10:22:16.298Z,market,USDC,24,22
2026-07-20T10:22:16.298Z,market,USDCx,96,73
2026-07-20T10:22:16.298Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,19,14
2026-07-20T10:22:16.298Z,market,USDM,44,36
2026-07-20T10:22:16.298Z,market,USDT,20,14
2026-07-20T10:22:16.298Z,market,WMT,0,0
2026-07-20T10:22:16.298Z,protocol,,598,436
2026-07-20T21:55:52.759Z,market,Ada,87,61
2026-07-20T21:55:52.759Z,market,BTC,15,12
2026-07-20T21:55:52.759Z,market,COPI,2,2
2026-07-20T21:55:52.759Z,market,DAI,2,2
2026-07-20T21:55:52.759Z,market,DJED,91,81
2026-07-20T21:55:52.759Z,market,ERG,4,4
2026-07-20T21:55:52.759Z,market,ETH,6,6
2026-07-20T21:55:52.759Z,market,IAG,7,7
2026-07-20T21:55:52.759Z,market,IUSD,57,46
2026-07-20T21:55:52.759Z,market,MIN,38,34
2026-07-20T21:55:52.759Z,market,NIGHT,13,12
2026-07-20T21:55:52.759Z,market,SHEN,9,8
2026-07-20T21:55:52.759Z,market,SNEK,12,12
2026-07-20T21:55:52.759Z,market,USDA,56,43
2026-07-20T21:55:52.759Z,market,USDC,32,23
2026-07-20T21:55:52.759Z,market,USDCx,99,76
2026-07-20T21:55:52.759Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,19,14
2026-07-20T21:55:52.759Z,market,USDM,45,37
2026-07-20T21:55:52.759Z,market,USDT,24,15
2026-07-20T21:55:52.759Z,market,WMT,0,0
2026-07-20T21:55:52.759Z,protocol,,618,437
2026-07-20T22:22:27.595Z,market,Ada,87,61
