timestamp,scope,marketId,marketBorrowNative,loanDebtNative,loanAdjustedDebtNative,minInterestFloorNative,marketBorrowInUsd,loanDebtInUsd,loanAdjustedDebtInUsd,minInterestFloorInUsd,adjustedDifferenceInUsd,adjustedCoveragePercent,classification
2026-07-17T16:19:39.734Z,market,IUSD,0,0,0,0,0,116894.961634,116894.961634,0,116894.961634,,overcoverage
2026-07-17T16:19:39.734Z,market,MIN,0,0,0,0,0,17497.764163854656,17497.764163854656,0,17497.764163854656,,overcoverage
2026-07-17T16:19:39.734Z,market,NIGHT,0,0,0,0,0,17811.861831282964,17811.861831282964,0,17811.861831282964,,overcoverage
2026-07-17T16:19:39.734Z,market,SHEN,0,0,0,0,0,2291.25740211478,2291.25740211478,0,2291.25740211478,,overcoverage
2026-07-17T16:19:39.734Z,market,SNEK,0,0,0,0,0,16306.560599249999,16306.560599249999,0,16306.560599249999,,overcoverage
2026-07-17T16:19:39.734Z,market,USDA,0,0,0,0,0,626665.0104329998,626665.0104329998,0,626665.0104329998,,overcoverage
2026-07-17T16:19:39.734Z,market,USDC,0,0,0,0,0,428773.52885897,428773.52885897,0,428773.52885897,,overcoverage
2026-07-17T16:19:39.734Z,market,USDCx,0,0,0,0,0,734205.1226020003,734205.1226020003,0,734205.1226020003,,overcoverage
2026-07-17T16:19:39.734Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,0,0,0,0,0,78042.9344262995,78042.9344262995,0,78042.9344262995,,overcoverage
2026-07-17T16:19:39.734Z,market,USDM,0,0,0,0,0,158281.544565,158281.544565,0,158281.544565,,overcoverage
2026-07-17T16:19:39.734Z,market,USDT,0,0,0,0,0,353336.69414888,353336.69414888,0,353336.69414888,,overcoverage
2026-07-17T16:19:39.734Z,protocol,,0,0,0,0,0,4101392.8680463783,4101392.8680463783,0,4101392.8680463783,,overcoverage
2026-07-17T18:06:26.398Z,market,Ada,0,0,0,0,0,589652.1954849347,589652.1954849347,0,589652.1954849347,,overcoverage
2026-07-17T18:06:26.398Z,market,BTC,0,0,0,0,0,31073.68390805,31073.68390805,0,31073.68390805,,overcoverage
2026-07-17T18:06:26.398Z,market,DAI,0,0,0,0,0,11.338093,11.338093,0,11.338093,,overcoverage
2026-07-17T18:06:26.398Z,market,DJED,0,0,0,0,0,921750.5424843597,921750.5424843597,0,921750.5424843597,,overcoverage
2026-07-17T18:06:26.398Z,market,ERG,0,0,0,0,0,2235.035251455194,2235.035251455194,0,2235.035251455194,,overcoverage
2026-07-17T18:06:26.398Z,market,ETH,0,0,0,0,0,2864.8632034620005,2864.8632034620005,0,2864.8632034620005,,overcoverage
2026-07-17T18:06:26.398Z,market,IAG,0,0,0,0,0,4308.27756431195,4308.27756431195,0,4308.27756431195,,overcoverage
2026-07-17T18:06:26.398Z,market,IUSD,0,0,0,0,0,116449.60491356255,116449.60491356255,0,116449.60491356255,,overcoverage
2026-07-17T18:06:26.398Z,market,MIN,0,0,0,0,0,17490.372922392176,17490.372922392176,0,17490.372922392176,,overcoverage
