timestamp,scope,marketId,activeDebtLoanCount,activeDebtInUsd,hf_le_100LoanCount,hf_le_100DebtInUsd,hf_100_110LoanCount,hf_100_110DebtInUsd,hf_110_125LoanCount,hf_110_125DebtInUsd,hf_125_150LoanCount,hf_125_150DebtInUsd,hf_150_200LoanCount,hf_150_200DebtInUsd,hf_gt_200LoanCount,hf_gt_200DebtInUsd,badDebtLoanCount,badDebtInUsd,badDebtShortfallInUsd
2026-07-16T18:44:35.371Z,market,ETH,7,2903.7458690800004,0,0,1,18.55037948,0,0,4,2431.4544602,0,0,2,453.7410294,0,0,0
2026-07-16T18:44:35.371Z,market,IAG,6,3964.5007824590907,0,0,0,0,0,0,1,112.448954806839,1,2949.174053616735,4,902.877774035517,0,0,0
2026-07-16T18:44:35.371Z,market,IUSD,48,115398.69714551535,0,0,4,8523.19381087914,20,4251.3823592586705,9,82507.6005515329,4,2525.99515687463,11,17590.525266970002,0,0,0
2026-07-16T18:44:35.371Z,market,MIN,37,16203.787887894336,0,0,0,0,0,0,3,422.661103449052,5,1509.0061964605577,29,14272.120587984728,0,0,0
2026-07-16T18:44:35.371Z,market,NIGHT,11,18860.69557846019,0,0,0,0,1,14.9374404,2,195.102052174243,1,36.447354576,7,18614.208731309947,0,0,0
2026-07-16T18:44:35.371Z,market,SHEN,9,2281.0772845314,0,0,0,0,0,0,1,714.662580543782,1,275.4441792,7,1290.970524787618,0,0,0
2026-07-16T18:44:35.371Z,market,SNEK,11,16517.167109430004,0,0,0,0,0,0,0,0,0,0,11,16517.167109430004,0,0,0
2026-07-16T18:44:35.371Z,market,USDA,57,626218.5984750001,0,0,0,0,26,190176.9540860001,18,388460.83171699994,2,32068.511647,11,15512.301024999999,0,0,0
2026-07-16T18:44:35.371Z,market,USDC,17,428572.53109676,0,0,2,4075.24456955,5,5140.73850089,6,405387.20679504,3,13967.866045249999,1,1.47518603,1,34.08967394,0.5761943240007241
2026-07-16T18:44:35.371Z,market,USDCx,91,735500.9250200001,0,0,1,55983.360301,13,142878.79710399997,16,146965.77505999999,27,207777.70001200004,34,181895.29254300002,0,0,0
2026-07-16T18:44:35.371Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,11,74619.7307129225,0,0,0,0,4,57392.4377765865,3,3319.538148157,1,1505.0744126355,3,12402.6803755435,0,0,0
2026-07-16T18:44:35.371Z,market,USDM,44,158200.42112299998,0,0,3,15180.875630999999,8,392.292938,7,106418.253046,12,30940.904105999998,14,5268.095402,0,0,0
2026-07-16T18:44:35.371Z,market,USDT,19,353134.9296603599,0,0,0,0,10,36342.1382238,2,1811.7557983899999,5,314473.99281551,2,507.04282266,0,0,0
2026-07-16T18:44:35.371Z,protocol,,554,4085454.8318464356,0,0,19,152807.1389539657,140,580041.7005533159,105,1745694.952223011,96,1215722.04425836,194,391188.9958577836,1,34.08967394,0.5761943240007241
2026-07-17T14:40:49.241Z,market,Ada,81,571986.2647569827,0,0,4,200.2808560005,10,624.00352750758,18,6594.455597245562,18,545232.7119279784,31,19334.812848250684,0,0,0
2026-07-17T14:40:49.241Z,market,BTC,13,30637.824297149997,0,0,0,0,1,159.91517697,5,17419.986137159998,5,7558.753900889999,2,5499.16908213,0,0,0
2026-07-17T14:40:49.241Z,market,DAI,1,11.337807,0,0,0,0,1,11.337807,0,0,0,0,0,0,0,0,0
2026-07-17T14:40:49.241Z,market,DJED,87,925345.8484325649,0,0,4,68944.44338462426,41,143297.03305984772,12,595690.6639577709,8,39450.84863336546,22,77962.85939695648,0,0,0
2026-07-17T14:40:49.241Z,market,ERG,4,2215.1068061283777,0,0,0,0,0,0,0,0,2,2195.1681323530283,2,19.93867377534968,0,0,0
2026-07-17T14:40:49.241Z,market,ETH,7,2837.3478316560004,0,0,1,18.126261972,0,0,4,2375.86366134,0,0,2,443.357908344,0,0,0
2026-07-17T14:40:49.241Z,market,IAG,6,4161.852783218699,0,0,0,0,0,0,1,115.037935333056,1,3123.14957080722,4,923.665277078424,0,0,0
2026-07-17T14:40:49.241Z,market,IUSD,48,116593.37263298428,0,0,5,11403.22843385088,21,5088.801617110121,7,79776.56405343354,5,14687.00336786184,10,5637.775160727899,0,0,0
2026-07-17T14:40:49.241Z,market,MIN,38,17224.859533861094,0,0,0,0,0,0,3,421.880578965632,5,1506.2934790049567,30,15296.685475890503,0,0,0
2026-07-17T14:40:49.241Z,market,NIGHT,11,17724.037745775237,0,0,0,0,0,0,1,14.0372208,3,217.594861008804,7,17492.405663966434,0,0,0
2026-07-17T14:40:49.241Z,market,SHEN,9,2233.93701306704,0,0,0,0,0,0,1,699.892790270648,1,269.7516288,7,1264.292593996392,0,0,0
2026-07-17T14:40:49.241Z,market,SNEK,11,15966.387994710001,0,0,0,0,0,0,0,0,0,0,11,15966.387994710001,0,0,0
2026-07-17T14:40:49.241Z,market,USDA,57,626665.0104329998,0,0,0,0,27,212193.934294,16,366678.15734900004,3,32269.559933,11,15523.358857000001,0,0,0
2026-07-17T14:40:49.241Z,market,USDC,17,428773.52885897,0,0,2,4077.1559850900003,5,5143.149665989999,7,405655.47193826,2,13896.27539169,1,1.47587794,1,34.08967394,1.051945851316873
2026-07-17T14:40:49.241Z,market,USDCx,92,734205.1226020003,0,0,2,46104.784367,13,151219.850732,19,160300.54186000003,29,201169.368948,29,175410.576695,0,0,0
2026-07-17T14:40:49.241Z,market,USDCx-USDM-SUNDAE-LP-STABLESWAP,11,76584.8372029895,0,0,0,0,4,59357.5442666535,3,3319.538148157,1,1505.0744126355,3,12402.6803755435,0,0,0
2026-07-17T14:40:49.241Z,market,USDM,44,158281.544565,0,0,3,15188.660217,10,76224.776089,7,41828.051029,11,21325.079726999993,13,3714.977503,0,0,0
2026-07-17T14:40:49.241Z,market,USDT,19,353294.2045147801,0,0,0,0,11,36666.025213609995,1,1505.07740338,5,314615.83038302005,2,507.27151477,0,0,0
2026-07-17T14:40:49.241Z,protocol,,556,4084742.4258118384,0,0,21,145936.6795055376,144,689986.3714496891,105,1682395.2196601166,99,1199022.4642974145,187,367401.6908990796,1,34.08967394,1.051945851316873
2026-07-17T16:11:28.090Z,market,Ada,81,586656.3215104153,0,0,5,225.06649395399,10,670.8246637125301,18,6796.393741963921,18,559546.1852134913,30,19417.851397293474,0,0,0
2026-07-17T16:11:28.090Z,market,BTC,13,30756.7392244,0,0,0,0,1,160.53585752,5,17487.59852256,5,7588.09177624,2,5520.51306808,0,0,0
2026-07-17T16:11:28.090Z,market,DAI,1,11.337807,0,0,0,0,1,11.337807,0,0,0,0,0,0,0,0,0
